#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
25,Santos Basin.txt,wikipedia,"The Itanhaém Formation is 517 metres (1,696 ft) thick and consists of dark grey shales, silts and light grey marls, ochre-brown calcisilts and subordinated sandstones. These facies change laterally into the coarse clastics of the Florianópolis Formation. Facies analysis indicates a marine environment ranging from sub-littoral (inner neritic) and more rarely to pelagic (outer bathyal) conditions. The age based on planktonic foraminifera and pollen is Early Albian.",What is the composition of the Itanhaém Formation? ,"It consists of dark grey shales, silts and light grey marls, ochre-brown calcisilts and subordinated sandstones. ","A formação de Itanhaém é de 517 metros (1.696 pés) de espessura e consiste em xícolas cinzentas escuras, siltes e marls cinza cinza, calcisilts ocre-marrons e arenitos subordinados. Essas fácies mudam lateralmente para o clástico grosseiro da formação de Florianópolis. A análise de fácies indica um ambiente marítimo que varia de sub-littoral (nerítico interior) e mais raramente a condições pelágicas (banheiras externas). A idade baseada em foraminifera planctônica e pólen é cedo Albian.",Qual é a composição da formação de Itanhaém?,"Consiste em shales cinzentos escuros, siltos e marls cinza cinza, calcisilts ocre-marrons e arenitos subordinados."
26,Santos Basin.txt,wikipedia,"The Itanhaém Formation is 517 metres (1,696 ft) thick and consists of dark grey shales, silts and light grey marls, ochre-brown calcisilts and subordinated sandstones. These facies change laterally into the coarse clastics of the Florianópolis Formation. Facies analysis indicates a marine environment ranging from sub-littoral (inner neritic) and more rarely to pelagic (outer bathyal) conditions. The age based on planktonic foraminifera and pollen is Early Albian.",How thick is the Itanhaém Formation? ,It is 517 metres thick.,"A formação de Itanhaém é de 517 metros (1.696 pés) de espessura e consiste em xícolas cinzentas escuras, siltes e marls cinza cinza, calcisilts ocre-marrons e arenitos subordinados. Essas fácies mudam lateralmente para o clástico grosseiro da formação de Florianópolis. A análise de fácies indica um ambiente marítimo que varia de sub-littoral (nerítico interior) e mais raramente a condições pelágicas (banheiras externas). A idade baseada em foraminifera planctônica e pólen é cedo Albian.",Quão espessa é a formação de Itanhaém?,É 517 metros de espessura.
27,Port_of_Santos.txt,wikipedia,"The Port of Santos (in Portuguese: Porto de Santos) is located in the city of Santos, state of São Paulo, Brazil. As of 2006, it is the busiest container port in Latin America.It possesses a wide variety of cargo handling terminals—solid and liquid bulk, containers, and general loads. It is Brazil's leading port in container traffic. The terrestrial access system to the port is made up by the Anchieta and Imigrantes highways and by the railroads operated by Ferroban and MRS.",Which is the Brazil's leading port in container traffic?,The Port of Santos.,"O Porto de Santos (em Português: Porto de Santos) está localizado na cidade de Santos, estado de São Paulo, Brasil. A partir de 2006, é o porto de contêiner mais movimentado na América Latina.é possui uma grande variedade de terminais de manuseio de carga - sólido e líquido a granel, contêineres e cargas gerais. É o porto principal do Brasil no tráfego de contêineres. O sistema de acesso terrestre ao porto é composto pelas rodovias de Anchieta e Imigrantes e pelas ferrovias operadas pela Ferroban e pela Sra.",Qual é o porto líder do Brasil no tráfego de contêineres?,O porto de Santos.
28,Port_of_Santos.txt,wikipedia,"The Port of Santos (in Portuguese: Porto de Santos) is located in the city of Santos, state of São Paulo, Brazil. As of 2006, it is the busiest container port in Latin America.It possesses a wide variety of cargo handling terminals—solid and liquid bulk, containers, and general loads. It is Brazil's leading port in container traffic. The terrestrial access system to the port is made up by the Anchieta and Imigrantes highways and by the railroads operated by Ferroban and MRS.",Where is located the Port of Santos?,"It's located in the city of Santos, state of São Paulo, Brazil.","O Porto de Santos (em Português: Porto de Santos) está localizado na cidade de Santos, estado de São Paulo, Brasil. A partir de 2006, é o porto de contêiner mais movimentado na América Latina.é possui uma grande variedade de terminais de manuseio de carga - sólido e líquido a granel, contêineres e cargas gerais. É o porto principal do Brasil no tráfego de contêineres. O sistema de acesso terrestre ao porto é composto pelas rodovias de Anchieta e Imigrantes e pelas ferrovias operadas pela Ferroban e pela Sra.",Onde está localizado o porto de Santos?,"Está localizado na cidade de Santos, estado de São Paulo, Brasil."
29,Port_of_Santos.txt,wikipedia,"The Port of Santos (in Portuguese: Porto de Santos) is located in the city of Santos, state of São Paulo, Brazil. As of 2006, it is the busiest container port in Latin America.It possesses a wide variety of cargo handling terminals—solid and liquid bulk, containers, and general loads. It is Brazil's leading port in container traffic. The terrestrial access system to the port is made up by the Anchieta and Imigrantes highways and by the railroads operated by Ferroban and MRS.",What is the land access to the port of Santos?,It's by the Anchieta and the Imigrantes highways and by the railroads operated by Ferroban and MRS.,"O Porto de Santos (em Português: Porto de Santos) está localizado na cidade de Santos, estado de São Paulo, Brasil. A partir de 2006, é o porto de contêiner mais movimentado na América Latina.é possui uma grande variedade de terminais de manuseio de carga - sólido e líquido a granel, contêineres e cargas gerais. É o porto principal do Brasil no tráfego de contêineres. O sistema de acesso terrestre ao porto é composto pelas rodovias de Anchieta e Imigrantes e pelas ferrovias operadas pela Ferroban e pela Sra.",Qual é o acesso à terra ao porto de Santos?,É pelas Anchieta e as rodovias imigrantes e pelas ferrovias operadas pela Ferroban e pela Sra.
30,Port_of_Santos.txt,wikipedia,"It was once considered the ""port of death"" in the 19th century due to yellow fever, and ships often avoided docking at the wood plank port. The floods in the city's area provoked illnesses.Today it is Latin America's largest port. Its structure is considered Brazil's most modern.","Why was the Port of Santos known as the ""port of death"" in the past?",It was due to the Yellow Fever.,"Uma vez foi considerado o ""porto de morte"" no século XIX devido à febre amarela, e navios frequentemente evitados no porto da prancha de madeira. As inundações na área da cidade provocavam doenças.Today é o maior porto da América Latina. Sua estrutura é considerada mais moderna do Brasil.","Por que o porto de Santos conhecido como ""porto de morte"" no passado?",Foi devido à febre amarela.
31,Port_of_Santos.txt,wikipedia,"It was once considered the ""port of death"" in the 19th century due to yellow fever, and ships often avoided docking at the wood plank port. The floods in the city's area provoked illnesses.Today it is Latin America's largest port. Its structure is considered Brazil's most modern.",What was the cause for the Yellow Fever disease in the Port of Santos?,The floods in the city's area provoked illnesses.,"Uma vez foi considerado o ""porto de morte"" no século XIX devido à febre amarela, e navios frequentemente evitados no porto da prancha de madeira. As inundações na área da cidade provocavam doenças.Today é o maior porto da América Latina. Sua estrutura é considerada mais moderna do Brasil.",Qual foi a causa para a doença da febre amarela no porto de Santos?,As inundações na área da cidade provocaram doenças.
32,Port_of_Santos.txt,wikipedia,"It was once considered the ""port of death"" in the 19th century due to yellow fever, and ships often avoided docking at the wood plank port. The floods in the city's area provoked illnesses.Today it is Latin America's largest port. Its structure is considered Brazil's most modern.",What is the Latin America's largest port?,The Port of Santos.,"Uma vez foi considerado o ""porto de morte"" no século XIX devido à febre amarela, e navios frequentemente evitados no porto da prancha de madeira. As inundações na área da cidade provocavam doenças.Today é o maior porto da América Latina. Sua estrutura é considerada mais moderna do Brasil.",Qual é o maior porto da América Latina?,O porto de Santos.
33,Port_of_Santos.txt,wikipedia,"In the early 20th century, major overhauling and urbanization created the port's modern structure seen today, eliminating the risk of diseases and providing the port with modern, industrial-age infrastructure.",When did the Porto de Santos urbanization boom start?,In the early 20th century.,"No início do século XX, maior revisão e urbanização criaram a estrutura moderna do porto visto hoje, eliminando o risco de doenças e fornecendo o porto com infraestrutura moderna e industrial.",Quando o boom do porto de Santos Urbanization começou?,No início do século XX.
34,Port_of_Santos.txt,wikipedia,"The location of the city of Santos was chosen at a convenient point for crossing the Serra do Mar mountain range, which is the main obstacle to access the interior. The first railway link from the port to the state capital São Paulo City, 79 km away, and the state's interior, was completed in 1864. This allowed for an easier transportation of the vast masses of migrant workers who headed to São Paulo and the state's numerous coffee farms. The main product exported by Santos until World War II was São Paulo state's huge coffee production, Brazil's largest. Today, coffee has become a smaller component of Brazil's exports and cars, machinery, orange juice, soybeans are now some of the port's main exports.",How far is the São Paulo city from the Port of Santos?,79 km.,"A localização da cidade de Santos foi escolhida em um ponto conveniente para atravessar a cordilheira da Serra do Mar, que é o principal obstáculo para acessar o interior. A primeira ligação ferroviária do porto para a capital do estado São Paulo, a 79 km, e o interior do estado, foi concluído em 1864. Isso permitiu um transporte mais fácil das vastas massas de trabalhadores migrantes que se dirigiram a São Paulo e do Estado. Numerosas fazendas de café. O principal produto exportado por Santos até a Segunda Guerra Mundial era a enorme produção de café do estado de São Paulo, a maior do Brasil. Hoje, o café tornou-se um componente menor das exportações e carros do Brasil, máquinas, suco de laranja, soja agora são algumas das principais exportações do porto.",Quão longe é a cidade de São Paulo do porto de Santos?,79 km.
